ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
MO-159,Pettis County,Missouri,55.1,100,0.9,54.2
MO-161,Phelps County,Missouri,56.2,114,1.2,55.1
MO-163,Pike County,Missouri,54,103,0.9,53
MO-165,Platte County,Missouri,54.7,103,1.3,53.5
MO-167,Polk County,Missouri,56.7,116,1.2,55.4
MO-169,Pulaski County,Missouri,57.1,121,1.8,55.3
MO-171,Putnam County,Missouri,51,69,0.1,50.8
MO-173,Ralls County,Missouri,53.7,97,0.8,52.9
MO-175,Randolph County,Missouri,54,112,1.1,52.9
MO-177,Ray County,Missouri,54,97,0.9,53.1
MO-179,Reynolds County,Missouri,55.6,101,0.8,54.8
MO-181,Ripley County,Missouri,58.2,118,1.1,57.1
MO-183,St. Charles County,Missouri,56,115,1.4,54.6
MO-185,St. Clair County,Missouri,56.5,97,0.5,56
MO-186,Ste. Genevieve County,Missouri,56.1,105,0.9,55.2
MO-187,St. Francois County,Missouri,55.4,104,0.8,54.6
MO-189,St. Louis County,Missouri,56.5,114,1.3,55.2
MO-195,Saline County,Missouri,54.7,107,1,53.8
MO-197,Schuyler County,Missouri,51.5,98,0.8,50.7
MO-199,Scotland County,Missouri,51.5,82,0.5,51
MO-201,Scott County,Missouri,58.5,118,1.2,57.3
MO-203,Shannon County,Missouri,56.8,120,1.5,55.3
MO-205,Shelby County,Missouri,52.5,77,0.4,52.1
MO-207,Stoddard County,Missouri,58.5,90,0.6,57.9
MO-209,Stone County,Missouri,57.2,103,0.9,56.3
MO-211,Sullivan County,Missouri,51.8,74,0.3,51.5
MO-213,Taney County,Missouri,57.6,114,1.1,56.5
MO-215,Texas County,Missouri,56,113,1.1,54.9
MO-217,Vernon County,Missouri,56.6,73,0.2,56.4
MO-219,Warren County,Missouri,55.2,115,1.5,53.7
MO-221,Washington County,Missouri,55.3,111,1,54.2
MO-223,Wayne County,Missouri,56.8,88,0.5,56.3
MO-225,Webster County,Missouri,55.5,111,1,54.5
MO-227,Worth County,Missouri,51.6,107,1.3,50.4
MO-229,Wright County,Missouri,55.8,113,1,54.8
MO-510,St. Louis City,Missouri,56.7,108,1.3,55.5
MT-001,Beaverhead County,Montana,38.3,111,1.6,36.7
MT-003,Big Horn County,Montana,44.8,90,0.9,43.9
MT-005,Blaine County,Montana,42,88,0.8,41.2
MT-007,Broadwater County,Montana,42.6,98,0.9,41.7
MT-009,Carbon County,Montana,42.8,101,1.5,41.3
MT-011,Carter County,Montana,43.8,93,1,42.8
MT-013,Cascade County,Montana,42.4,77,0.3,42.2
MT-015,Chouteau County,Montana,43.2,79,0.4,42.7
MT-017,Custer County,Montana,44.8,90,0.9,43.9
MT-019,Daniels County,Montana,38.8,79,0.8,38
MT-021,Dawson County,Montana,43,90,1,42
MT-023,Deer Lodge County,Montana,38.6,116,1.8,36.8
MT-025,Fallon County,Montana,43.2,81,0.7,42.6
MT-027,Fergus County,Montana,43.3,75,0.4,42.9
MT-029,Flathead County,Montana,40.5,113,1.8,38.7
MT-031,Gallatin County,Montana,39.9,105,1.3,38.6
MT-033,Garfield County,Montana,43.9,92,1,42.9
MT-035,Glacier County,Montana,39.5,100,1.5,38
MT-037,Golden Valley County,Montana,43.4,51,-0.1,43.5
MT-039,Granite County,Montana,39.7,116,1.8,37.9
MT-041,Hill County,Montana,40.9,78,0.6,40.3
MT-043,Jefferson County,Montana,41.3,115,1.7,39.7
MT-045,Judith Basin County,Montana,41.3,86,0.7,40.6
MT-047,Lake County,Montana,43.9,116,1.7,42.3
MT-049,Lewis and Clark County,Montana,40.9,102,1.3,39.7
MT-051,Liberty County,Montana,41,77,0.6,40.4
MT-053,Lincoln County,Montana,42.3,116,2,40.3
MT-055,McCone County,Montana,42.7,91,1.2,41.6
MT-057,Madison County,Montana,40,111,1.5,38.5
MT-059,Meagher County,Montana,39.9,104,1.4,38.5
MT-061,Mineral County,Montana,42.4,114,1.3,41.1
MT-063,Missoula County,Montana,41.7,113,1.4,40.3
MT-065,Musselshell County,Montana,44.7,62,0,44.6
MT-067,Park County,Montana,39.4,109,1.6,37.7
MT-069,Petroleum County,Montana,45.3,79,0.5,44.8
MT-071,Phillips County,Montana,42.4,78,0.6,41.8
MT-073,Pondera County,Montana,41.4,91,1.1,40.3
MT-075,Powder River County,Montana,45.1,91,0.9,44.2
MT-077,Powell County,Montana,39.9,113,1.6,38.3
MT-079,Prairie County,Montana,43.8,88,0.9,42.9
MT-081,Ravalli County,Montana,40.7,117,1.4,39.3
MT-083,Richland County,Montana,42.2,91,1.1,41.2
MT-085,Roosevelt County,Montana,41,90,1.1,40
MT-087,Rosebud County,Montana,44.4,75,0.5,43.9
MT-089,Sanders County,Montana,43.1,98,1,42
MT-091,Sheridan County,Montana,39.6,89,1.1,38.6
MT-093,Silver Bow County,Montana,40.2,116,1.9,38.3
MT-095,Stillwater County,Montana,42.6,59,0,42.6
MT-097,Sweet Grass County,Montana,42.3,89,0.7,41.5
MT-099,Teton County,Montana,41.4,90,1.1,40.3
MT-101,Toole County,Montana,41.5,83,1,40.6
MT-103,Treasure County,Montana,45,76,0.4,44.6
MT-105,Valley County,Montana,40.8,81,0.8,40
MT-107,Wheatland County,Montana,42.3,82,0.5,41.7
MT-109,Wibaux County,Montana,42.8,79,0.6,42.2
MT-111,Yellowstone County,Montana,45.5,71,0.2,45.2
NE-001,Adams County,Nebraska,51.2,101,1.2,50.1
NE-003,Antelope County,Nebraska,48.3,85,0.6,47.7
NE-005,Arthur County,Nebraska,48.6,106,1.3,47.3
NE-007,Banner County,Nebraska,48.1,107,1.5,46.6
NE-009,Blaine County,Nebraska,48.7,88,0.6,48.1
NE-011,Boone County,Nebraska,49.1,104,1.2,47.9
NE-013,Box Butte County,Nebraska,47.2,101,1.1,46.1
NE-015,Boyd County,Nebraska,48.4,90,0.7,47.7
NE-017,Brown County,Nebraska,48.5,100,1,47.5
NE-019,Buffalo County,Nebraska,50.4,104,1.2,49.3
NE-021,Burt County,Nebraska,49.6,102,1.2,48.5
NE-023,Butler County,Nebraska,50.1,85,0.7,49.3
NE-025,Cass County,Nebraska,51.3,91,0.8,50.5
NE-027,Cedar County,Nebraska,48,95,0.8,47.2
NE-029,Chase County,Nebraska,51.2,109,1.5,49.7
NE-031,Cherry County,Nebraska,48,106,1.5,46.5
NE-033,Cheyenne County,Nebraska,48.7,94,1.2,47.6
NE-035,Clay County,Nebraska,51.4,101,1.2,50.2
NE-037,Colfax County,Nebraska,50.1,105,1.4,48.7
NE-039,Cuming County,Nebraska,49.1,94,0.9,48.2
NE-041,Custer County,Nebraska,49.1,94,1,48.1
NE-043,Dakota County,Nebraska,48.4,88,0.8,47.7
NE-045,Dawes County,Nebraska,47.7,95,1.1,46.6
NE-047,Dawson County,Nebraska,50.2,95,0.7,49.5
NE-049,Deuel County,Nebraska,49.5,87,0.9,48.7
NE-051,Dixon County,Nebraska,47.9,81,0.5,47.4
NE-053,Dodge County,Nebraska,50.3,106,1.3,49
NE-055,Douglas County,Nebraska,51.3,108,1.4,49.9
NE-057,Dundy County,Nebraska,51.8,100,1.3,50.5
NE-059,Fillmore County,Nebraska,51.3,89,0.8,50.5
NE-061,Franklin County,Nebraska,52.1,104,1.1,51
NE-063,Frontier County,Nebraska,51.1,99,1.1,50
NE-065,Furnas County,Nebraska,51.6,84,0.5,51.1
NE-067,Gage County,Nebraska,51.8,82,0.6,51.2
NE-069,Garden County,Nebraska,48.4,104,1.3,47.1
NE-071,Garfield County,Nebraska,48.3,98,1,47.3
NE-073,Gosper County,Nebraska,50.8,93,0.5,50.2
NE-075,Grant County,Nebraska,47.5,101,1.2,46.3
NE-077,Greeley County,Nebraska,49,101,1,48
NE-079,Hall County,Nebraska,50.9,107,1.3,49.6
NE-081,Hamilton County,Nebraska,51.2,107,1.3,49.9
NE-083,Harlan County,Nebraska,52,95,0.8,51.2
NE-085,Hayes County,Nebraska,50.9,97,1,49.9
NE-087,Hitchcock County,Nebraska,51.9,94,1,51
NE-089,Holt County,Nebraska,48,90,0.7,47.2
NE-091,Hooker County,Nebraska,47.7,84,0.5,47.2
NE-093,Howard County,Nebraska,50.3,105,1.2,49.1
NE-095,Jefferson County,Nebraska,52.2,90,1,51.2
NE-097,Johnson County,Nebraska,51.7,83,0.4,51.3
NE-099,Kearney County,Nebraska,50.9,100,1,49.9
NE-101,Keith County,Nebraska,49.9,99,1.1,48.8
NE-103,Keya Paha County,Nebraska,48.3,104,1.2,47.1
NE-105,Kimball County,Nebraska,47.4,102,1.3,46.1
NE-107,Knox County,Nebraska,48.4,92,0.8,47.6
NE-109,Lancaster County,Nebraska,51.5,93,1,50.5
NE-111,Lincoln County,Nebraska,49.8,96,0.8,49
NE-113,Logan County,Nebraska,48.6,88,0.6,48.1
NE-115,Loup County,Nebraska,48.4,94,0.9,47.5
NE-117,McPherson County,Nebraska,48.5,94,0.7,47.7
NE-119,Madison County,Nebraska,49,95,0.9,48.1
NE-121,Merrick County,Nebraska,51,112,1.5,49.5
NE-123,Morrill County,Nebraska,48.6,104,1.4,47.2
NE-125,Nance County,Nebraska,50.2,104,1.4,48.8
NE-127,Nemaha County,Nebraska,52.2,86,0.6,51.7
NE-129,Nuckolls County,Nebraska,52,97,1.2,50.9
NE-131,Otoe County,Nebraska,51.5,80,0.4,51.1
NE-133,Pawnee County,Nebraska,52.1,85,0.5,51.6
NE-135,Perkins County,Nebraska,50.2,101,1.1,49.1
NE-137,Phelps County,Nebraska,50.8,95,0.8,50
NE-139,Pierce County,Nebraska,48.3,90,0.7,47.5
NE-141,Platte County,Nebraska,49.9,105,1.4,48.5
NE-143,Polk County,Nebraska,50.6,96,1.1,49.5
NE-145,Red Willow County,Nebraska,52.1,102,1.3,50.8
NE-147,Richardson County,Nebraska,52.9,95,0.9,52
NE-149,Rock County,Nebraska,47.9,99,0.9,47.1
NE-151,Saline County,Nebraska,51.4,84,0.7,50.7
NE-153,Sarpy County,Nebraska,51.4,103,1.2,50.2
NE-155,Saunders County,Nebraska,51,105,1.3,49.7
NE-157,Scotts Bluff County,Nebraska,48.9,107,1.6,47.3
NE-159,Seward County,Nebraska,50.6,79,0.6,50.1
NE-161,Sheridan County,Nebraska,47.1,100,1.3,45.8
NE-163,Sherman County,Nebraska,49.8,105,1.2,48.5
NE-165,Sioux County,Nebraska,46.4,95,1.1,45.3
NE-167,Stanton County,Nebraska,49.3,103,1.1,48.2
NE-169,Thayer County,Nebraska,52.1,93,1.1,51.1
NE-171,Thomas County,Nebraska,48.5,83,0.4,48.2
NE-173,Thurston County,Nebraska,48.7,99,0.9,47.8
NE-175,Valley County,Nebraska,48.9,99,1.1,47.8
NE-177,Washington County,Nebraska,50.6,104,1.3,49.3
NE-179,Wayne County,Nebraska,48.3,88,0.8,47.6
NE-181,Webster County,Nebraska,51.9,99,1,50.9
NE-183,Wheeler County,Nebraska,48.7,103,1.2,47.5
NE-185,York County,Nebraska,50.9,87,0.7,50.2
NV-001,Churchill County,Nevada,52.2,116,1.8,50.4
NV-003,Clark County,Nevada,65.6,118,2.4,63.1
NV-005,Douglas County,Nevada,49.9,121,2.1,47.8
NV-007,Elko County,Nevada,46,118,1.6,44.3
NV-009,Esmeralda County,Nevada,54.5,122,3.5,51
NV-011,Eureka County,Nevada,47.2,118,2,45.1
NV-013,Humboldt County,Nevada,50.2,121,2,48.1
NV-015,Lander County,Nevada,49.1,117,2.1,47
NV-017,Lincoln County,Nevada,56,117,2.2,53.9
NV-019,Lyon County,Nevada,52.3,120,2.2,50
NV-021,Mineral County,Nevada,51.9,123,3.1,48.8
NV-023,Nye County,Nevada,53.2,118,2.8,50.4
NV-027,Pershing County,Nevada,51.6,121,1.7,49.9
NV-029,Storey County,Nevada,51.7,120,2.4,49.3
NV-031,Washoe County,Nevada,50.1,119,2.1,48.1
NV-033,White Pine County,Nevada,47.1,119,2.1,45
NV-510,Carson City,Nevada,51.2,121,2.4,48.8
NH-001,Belknap County,New Hampshire,46.3,121,2.4,43.9
NH-003,Carroll County,New Hampshire,44.7,123,2.5,42.2
NH-005,Cheshire County,New Hampshire,46.8,124,3,43.8
NH-007,Coos County,New Hampshire,40.9,121,2.5,38.4
NH-009,Grafton County,New Hampshire,43.5,124,2.7,40.8
NH-011,Hillsborough County,New Hampshire,48.4,124,3.2,45.1
NH-013,Merrimack County,New Hampshire,46.9,124,2.8,44
NH-015,Rockingham County,New Hampshire,48.9,124,2.8,46.1
NH-017,Strafford County,New Hampshire,47.1,120,2.1,45
NH-019,Sullivan County,New Hampshire,45.3,124,2.9,42.4
NJ-001,Atlantic County,New Jersey,56.1,122,3.5,52.6
NJ-003,Bergen County,New Jersey,54.3,123,3.3,51
NJ-005,Burlington County,New Jersey,56.1,124,3.3,52.9
NJ-007,Camden County,New Jersey,56.5,124,3.2,53.3
NJ-009,Cape May County,New Jersey,56.5,122,3.4,53.1
NJ-011,Cumberland County,New Jersey,56.3,122,3.3,53
NJ-013,Essex County,New Jersey,54.7,122,3.5,51.3
NJ-015,Gloucester County,New Jersey,56.5,123,3.1,53.5
NJ-017,Hudson County,New Jersey,56,122,3.4,52.7
NJ-019,Hunterdon County,New Jersey,53,122,3.5,49.5
NJ-021,Mercer County,New Jersey,55,124,3.2,51.8
NJ-023,Middlesex County,New Jersey,55.4,124,3.6,51.8
NJ-025,Monmouth County,New Jersey,55.6,124,3.6,52
NJ-027,Morris County,New Jersey,52,122,3.1,48.9
NJ-029,Ocean County,New Jersey,55.6,124,3.4,52.2
NJ-031,Passaic County,New Jersey,52.2,122,3.1,49.1
NJ-033,Salem County,New Jersey,56.4,122,2.9,53.5
NJ-035,Somerset County,New Jersey,54.1,122,3.5,50.7
NJ-037,Sussex County,New Jersey,50.3,123,2.7,47.6
NJ-039,Union County,New Jersey,55.3,124,3.6,51.7
NJ-041,Warren County,New Jersey,51.4,122,3.2,48.2
NM-001,Bernalillo County,New Mexico,54.7,119,2.5,52.2
NM-003,Catron County,New Mexico,49.8,119,2.1,47.7
NM-005,Chaves County,New Mexico,61,122,3.2,57.8
NM-006,Cibola County,New Mexico,50,117,1.7,48.3
NM-007,Colfax County,New Mexico,48.1,114,1.5,46.6
NM-009,Curry County,New Mexico,58.2,122,2.8,55.4
NM-011,De Baca County,New Mexico,59.9,122,3.4,56.5
NM-013,Dona Ana County,New Mexico,62.8,120,2.7,60.1
NM-015,Eddy County,New Mexico,63.1,121,2.7,60.5
NM-017,Grant County,New Mexico,57.5,120,2.6,54.8
NM-019,Guadalupe County,New Mexico,56.6,122,2.6,54
NM-021,Harding County,New Mexico,55.3,120,2,53.2
NM-023,Hidalgo County,New Mexico,61.2,119,2.3,58.9
NM-025,Lea County,New Mexico,61.6,120,2.2,59.3
NM-027,Lincoln County,New Mexico,56,122,2.7,53.3
NM-028,Los Alamos County,New Mexico,48.5,120,2.3,46.1
NM-029,Luna County,New Mexico,62.1,120,2.3,59.8
NM-031,McKinley County,New Mexico,50.4,119,2.1,48.3
NM-033,Mora County,New Mexico,49.4,122,2.6,46.8
NM-035,Otero County,New Mexico,59,120,2.5,56.5
NM-037,Quay County,New Mexico,58.5,122,2.2,56.4
NM-039,Rio Arriba County,New Mexico,47,121,2.4,44.5
NM-041,Roosevelt County,New Mexico,59,122,2.6,56.4
NM-043,Sandoval County,New Mexico,51.5,120,2.3,49.2
NM-045,San Juan County,New Mexico,52.9,120,2.5,50.4
NM-047,San Miguel County,New Mexico,54.1,120,2.2,51.8
NM-049,Santa Fe County,New Mexico,50.6,120,2.1,48.5
NM-051,Sierra County,New Mexico,58.9,119,2.4,56.5
NM-053,Socorro County,New Mexico,55.5,120,2.5,53
NM-055,Taos County,New Mexico,44.8,123,2.8,42.1
NM-057,Torrance County,New Mexico,52.2,119,2.7,49.5
NM-059,Union County,New Mexico,52.7,108,1.3,51.5
NM-061,Valencia County,New Mexico,56.5,118,2.5,54
NY-001,Albany County,New York,48.6,124,2.3,46.3
NY-003,Allegany County,New York,47,123,2.2,44.8
NY-005,Bronx County,New York,55.9,123,3.3,52.6
NY-007,Broome County,New York,47.2,118,1.6,45.7
NY-009,Cattaraugus County,New York,47,123,2.3,44.7
NY-011,Cayuga County,New York,47.7,119,1.6,46.1
NY-013,Chautauqua County,New York,48.3,123,2.4,45.9
NY-015,Chemung County,New York,48,122,2.2,45.9
NY-017,Chenango County,New York,46.1,118,1.7,44.4
NY-019,Clinton County,New York,44.3,121,2.5,41.7
NY-021,Columbia County,New York,49.6,122,2.6,47.1
NY-023,Cortland County,New York,45.7,117,1.5,44.2
NY-025,Delaware County,New York,45.6,118,1.8,43.8
NY-027,Dutchess County,New York,50.9,124,3.2,47.7
NY-029,Erie County,New York,48.7,122,2.5,46.2
NY-031,Essex County,New York,42.3,114,1.9,40.4
NY-033,Franklin County,New York,42.8,120,2.5,40.2
NY-035,Fulton County,New York,45.6,121,1.9,43.7
NY-037,Genesee County,New York,48.1,118,2,46
NY-039,Greene County,New York,47.1,120,2.1,45
NY-041,Hamilton County,New York,41.7,120,2,39.7
NY-043,Herkimer County,New York,43.6,118,1.8,41.8
NY-045,Jefferson County,New York,46,119,2.4,43.6
NY-047,Kings County,New York,56.2,122,3.2,53
NY-049,Lewis County,New York,43.7,119,2.4,41.3
NY-051,Livingston County,New York,48.6,122,2.3,46.3
NY-053,Madison County,New York,46,118,1.9,44.1
NY-055,Monroe County,New York,49.1,118,2.3,46.9
NY-057,Montgomery County,New York,47.6,120,1.7,45.9
NY-059,Nassau County,New York,55.1,123,3.2,51.9
NY-061,New York County,New York,56.2,123,3.3,52.8
NY-063,Niagara County,New York,49.1,119,2.1,46.9
NY-065,Oneida County,New York,45.9,118,1.9,44
NY-067,Onondaga County,New York,47.8,123,2.1,45.7
NY-069,Ontario County,New York,48.3,119,2,46.3
NY-071,Orange County,New York,50.7,122,2.8,47.9
NY-073,Orleans County,New York,48.6,116,2,46.6
NY-075,Oswego County,New York,47.3,123,2.4,44.9
NY-077,Otsego County,New York,45.3,115,1.3,44
NY-079,Putnam County,New York,51.5,124,3.3,48.2
NY-081,Queens County,New York,55.7,122,3.1,52.7
NY-083,Rensselaer County,New York,48.4,124,2.8,45.6
NY-085,Richmond County,New York,56.2,123,3.5,52.7
NY-087,Rockland County,New York,52.9,122,3.3,49.7
NY-089,St. Lawrence County,New York,44.4,119,2.6,41.8
NY-091,Saratoga County,New York,47.4,124,2.5,44.9
NY-093,Schenectady County,New York,48.2,124,2.3,45.9
NY-095,Schoharie County,New York,46,120,1.6,44.4
NY-097,Schuyler County,New York,47.6,122,2,45.5
NY-099,Seneca County,New York,48.5,117,1.5,47
NY-101,Steuben County,New York,47.2,122,2.1,45.2
NY-103,Suffolk County,New York,53.4,122,3.2,50.3
NY-105,Sullivan County,New York,47.6,121,2.4,45.2
NY-107,Tioga County,New York,47.5,119,1.7,45.8
NY-109,Tompkins County,New York,47,117,1.5,45.6
NY-111,Ulster County,New York,48.6,122,2.6,46
NY-113,Warren County,New York,44.5,117,2.2,42.3
NY-115,Washington County,New York,47,118,2.5,44.5
NY-117,Wayne County,New York,48.2,114,1.5,46.7
NY-119,Westchester County,New York,53.4,124,3.4,50
NY-121,Wyoming County,New York,47,122,2.4,44.7
NY-123,Yates County,New York,48.2,121,2,46.2
NC-001,Alamance County,North Carolina,59.9,121,1.7,58.1
NC-003,Alexander County,North Carolina,58.7,121,1.6,57.1
NC-005,Alleghany County,North Carolina,53.1,121,2.2,50.9
NC-007,Anson County,North Carolina,63,121,2.3,60.8
NC-009,Ashe County,North Carolina,51.7,121,1.9,49.9
NC-011,Avery County,North Carolina,51.2,121,2.1,49.1
NC-013,Beaufort County,North Carolina,63.1,121,2.1,61
NC-015,Bertie County,North Carolina,61.7,121,2.3,59.4
NC-017,Bladen County,North Carolina,63.6,121,2,61.6
NC-019,Brunswick County,North Carolina,64.5,121,2.1,62.4
NC-021,Buncombe County,North Carolina,55.1,121,1.9,53.2
NC-023,Burke County,North Carolina,58.5,121,1.7,56.8
NC-025,Cabarrus County,North Carolina,61.1,121,1.7,59.4
NC-027,Caldwell County,North Carolina,58.1,121,1.7,56.4
NC-029,Camden County,North Carolina,61.8,122,2.7,59.2
NC-031,Carteret County,North Carolina,64.5,121,2.1,62.3
NC-033,Caswell County,North Carolina,59.2,121,1.6,57.6
NC-035,Catawba County,North Carolina,59.8,121,1.9,57.9
NC-037,Chatham County,North Carolina,61,121,1.9,59.1
NC-039,Cherokee County,North Carolina,57,121,1.2,55.8
NC-041,Chowan County,North Carolina,62.3,122,2.6,59.8
NC-043,Clay County,North Carolina,55.9,121,1.8,54.2
NC-045,Cleveland County,North Carolina,60.2,121,1.7,58.5
NC-047,Columbus County,North Carolina,64,121,1.9,62.1
NC-049,Craven County,North Carolina,63.4,121,2.1,61.2
NC-051,Cumberland County,North Carolina,63.3,121,2.1,61.1
NC-053,Currituck County,North Carolina,62,122,2.7,59.4
NC-055,Dare County,North Carolina,63.1,123,2,61.2
NC-057,Davidson County,North Carolina,59.9,121,1.9,58
NC-059,Davie County,North Carolina,59.5,121,2.2,57.3
NC-061,Duplin County,North Carolina,62.7,121,1.7,61
NC-063,Durham County,North Carolina,60.2,121,2,58.3
NC-065,Edgecombe County,North Carolina,61.6,122,2,59.5
NC-067,Forsyth County,North Carolina,59.2,121,2.2,57
NC-069,Franklin County,North Carolina,60.6,121,2.4,58.3
NC-071,Gaston County,North Carolina,61.4,121,2.4,58.9
NC-073,Gates County,North Carolina,61.2,122,2.2,58.9
NC-075,Graham County,North Carolina,54.9,121,1.3,53.6
NC-077,Granville County,North Carolina,59.8,122,2.3,57.4
NC-079,Greene County,North Carolina,62.3,121,1.8,60.5
NC-081,Guilford County,North Carolina,59.6,121,1.9,57.7
NC-083,Halifax County,North Carolina,60.8,121,2.2,58.6
NC-085,Harnett County,North Carolina,62.4,121,2.1,60.3
NC-087,Haywood County,North Carolina,52,121,1.6,50.3
NC-089,Henderson County,North Carolina,56,120,1.4,54.6
NC-091,Hertford County,North Carolina,61,122,2.1,58.9
NC-093,Hoke County,North Carolina,63.2,121,2.5,60.7
NC-095,Hyde County,North Carolina,63.8,121,2.1,61.7
NC-097,Iredell County,North Carolina,59.6,121,2.2,57.5
NC-099,Jackson County,North Carolina,53.4,121,1.6,51.9
NC-101,Johnston County,North Carolina,62.2,121,2,60.2
NC-103,Jones County,North Carolina,63,121,2.1,61
NC-105,Lee County,North Carolina,61.8,121,2.1,59.7
NC-107,Lenoir County,North Carolina,62.4,120,1.6,60.8
NC-109,Lincoln County,North Carolina,60.5,121,2.2,58.3
NC-111,McDowell County,North Carolina,57.6,121,1.8,55.8
NC-113,Macon County,North Carolina,54.8,121,1.8,53
NC-115,Madison County,North Carolina,55.7,121,1.9,53.8
NC-117,Martin County,North Carolina,62.2,121,2.3,59.8
NC-119,Mecklenburg County,North Carolina,61.7,121,2.3,59.4
NC-121,Mitchell County,North Carolina,52.3,121,1.7,50.6
NC-123,Montgomery County,North Carolina,62.1,121,2.3,59.8
NC-125,Moore County,North Carolina,62.3,121,2.5,59.9
NC-127,Nash County,North Carolina,61,121,2.2,58.8
NC-129,New Hanover County,North Carolina,64.8,122,2.4,62.4
NC-131,Northampton County,North Carolina,60.6,121,2.1,58.5
NC-133,Onslow County,North Carolina,63.8,121,2.2,61.6
NC-135,Orange County,North Carolina,59.7,121,1.8,57.9
NC-137,Pamlico County,North Carolina,63.9,121,1.9,62
NC-139,Pasquotank County,North Carolina,62.1,122,2.7,59.4
NC-141,Pender County,North Carolina,63.9,121,2.2,61.7
NC-143,Perquimans County,North Carolina,62.2,122,2.6,59.5
NC-145,Person County,North Carolina,59,121,2,57.1
NC-147,Pitt County,North Carolina,62.5,121,2,60.5
NC-149,Polk County,North Carolina,59.6,117,1.3,58.3
NC-151,Randolph County,North Carolina,60.4,121,1.7,58.7
NC-153,Richmond County,North Carolina,63.2,121,2.5,60.7
NC-155,Robeson County,North Carolina,64,121,2.3,61.7
NC-157,Rockingham County,North Carolina,59.2,121,1.8,57.4
NC-159,Rowan County,North Carolina,60.1,121,1.9,58.3
NC-161,Rutherford County,North Carolina,59.8,120,1.6,58.3
NC-163,Sampson County,North Carolina,62.8,121,1.8,61
NC-165,Scotland County,North Carolina,63.7,121,2.7,61
NC-167,Stanly County,North Carolina,61.9,121,1.9,60
NC-169,Stokes County,North Carolina,58.7,121,2.2,56.4
NC-171,Surry County,North Carolina,57.8,121,2.3,55.5
NC-173,Swain County,North Carolina,52.9,121,1.3,51.6
NC-175,Transylvania County,North Carolina,55.1,121,1.8,53.3
NC-177,Tyrrell County,North Carolina,63.1,122,2.4,60.7
NC-179,Union County,North Carolina,62.3,121,2.2,60.1
NC-181,Vance County,North Carolina,60,122,2.5,57.5
NC-183,Wake County,North Carolina,61.2,121,2,59.2
NC-185,Warren County,North Carolina,60.3,121,2.5,57.8
NC-187,Washington County,North Carolina,62.7,121,2.5,60.1
NC-189,Watauga County,North Carolina,52,121,2,50
NC-191,Wayne County,North Carolina,62.4,121,1.9,60.5
NC-193,Wilkes County,North Carolina,57.9,121,2.2,55.7
NC-195,Wilson County,North Carolina,62,121,2.1,59.9
NC-197,Yadkin County,North Carolina,58.8,121,2.3,56.5
NC-199,Yancey County,North Carolina,52.2,121,1.7,50.4
ND-001,Adams County,North Dakota,42.4,87,1,41.4
ND-003,Barnes County,North Dakota,40.8,97,1.2,39.6
ND-005,Benson County,North Dakota,39.4,103,1.5,37.9
ND-007,Billings County,North Dakota,42.2,83,0.8,41.4
ND-009,Bottineau County,North Dakota,39,94,1.2,37.8
ND-011,Bowman County,North Dakota,42.8,85,0.9,42
ND-013,Burke County,North Dakota,38.3,80,0.7,37.6
ND-015,Burleigh County,North Dakota,41.3,95,1.2,40.1
ND-017,Cass County,North Dakota,41.1,84,0.7,40.4
ND-019,Cavalier County,North Dakota,37.7,105,1.7,36.1
ND-021,Dickey County,North Dakota,41.6,83,0.6,41
ND-023,Divide County,North Dakota,39,89,1.2,37.9
ND-025,Dunn County,North Dakota,41.8,95,1.1,40.7
ND-027,Eddy County,North Dakota,39.8,96,1.2,38.5
ND-029,Emmons County,North Dakota,41.8,76,0.5,41.3
ND-031,Foster County,North Dakota,39.9,88,1,38.9
ND-033,Golden Valley County,North Dakota,42.4,75,0.5,41.9
ND-035,Grand Forks County,North Dakota,39.8,90,0.9,38.9
ND-037,Grant County,North Dakota,42.2,86,0.8,41.4
ND-039,Griggs County,North Dakota,39.6,97,1.1,38.5
ND-041,Hettinger County,North Dakota,42,87,0.9,41.1
ND-043,Kidder County,North Dakota,40.3,91,0.9,39.4
ND-045,LaMoure County,North Dakota,41.5,92,0.9,40.6
ND-047,Logan County,North Dakota,40.7,85,0.8,39.9
ND-049,McHenry County,North Dakota,40.2,99,1.2,39
ND-051,McIntosh County,North Dakota,40.8,74,0.5,40.4
ND-053,McKenzie County,North Dakota,41.7,90,1.1,40.6
ND-055,McLean County,North Dakota,41.3,101,1.3,40
ND-057,Mercer County,North Dakota,41.8,92,1,40.8
ND-059,Morton County,North Dakota,41.9,89,0.9,41
ND-061,Mountrail County,North Dakota,39.8,91,1,38.8
ND-063,Nelson County,North Dakota,38.9,96,1.2,37.7
ND-065,Oliver County,North Dakota,41.5,86,0.6,40.9
ND-067,Pembina County,North Dakota,39.4,107,2,37.5
ND-069,Pierce County,North Dakota,39.1,102,1.5,37.6
ND-071,Ramsey County,North Dakota,38.9,102,1.4,37.5
ND-073,Ransom County,North Dakota,41.5,81,0.6,40.9
ND-075,Renville County,North Dakota,39.4,83,0.8,38.6
ND-077,Richland County,North Dakota,42.2,87,0.9,41.4
ND-079,Rolette County,North Dakota,38,109,1.9,36.1
ND-081,Sargent County,North Dakota,41.6,54,0.3,41.4
